資源彙整機關,旅客服務中心,連絡電話,傳真,電子郵件,地址,相關網址,X坐標,Y坐標,備註,最後更新時間
臺東縣政府,臺東火車站-旅遊服務中心,089-238231,,,臺東市岩灣路101巷598號,https://tour.taitung.gov.tw/zh-tw/information/visitor-information-center,262668.504,2521584.979,,20201001
臺東縣政府,台東縣旅遊服務中心,089-357131,,,臺東市鐵花路369號,https://tour.taitung.gov.tw/zh-tw/information/visitor-information-center,265116.02,2516805.68,,20201001
臺東縣政府,臺東機場-旅遊服務中心,089-362476,,,臺東市民航路1100號,https://tour.taitung.gov.tw/zh-tw/information/visitor-information-center,260978.157,2517230.613,,20201001
臺東縣政府,都歷處本部遊客服務中心,089-841520,,,臺東縣成功鎮信義里新村路25號,https://tour.taitung.gov.tw/zh-tw/information/visitor-information-center,283168.85,2546492.779,,20201001
臺東縣政府,八仙洞遊客服務中心,089-881418,,,臺東縣長濱鄉三間村水母丁1-4號,https://tour.taitung.gov.tw/zh-tw/information/visitor-information-center,298708.238,2588213.9,,20201001
臺東縣政府,小野柳遊客服務中心,089-281136,,,臺東市松江路500號,https://tour.taitung.gov.tw/zh-tw/information/visitor-information-center,270159.708,2521665.811,,20201001
臺東縣政府,綠島遊客服務中心,089-672027,,,臺東縣綠島鄉南寮村298號,https://tour.taitung.gov.tw/zh-tw/information/visitor-information-center,298153.475,2508036.126,,20201001
臺東縣政府,鹿野遊客中心,089-551637,,,臺東縣鹿野鄉永安村高台路46號,https://tour.taitung.gov.tw/zh-tw/information/visitor-information-center,262821.938,2535831.399,,20201001
臺東縣政府,知本國家森林遊樂區,089-510961,,,臺東縣溫泉村龍泉路290號,https://tour.taitung.gov.tw/zh-tw/information/visitor-information-center,249195.35,2509610.19,,20201001
臺東縣政府,向陽國家森林遊樂區,0912-103376,,,臺東縣海端鄉利稻村3鄰向陽7號,https://tour.taitung.gov.tw/zh-tw/information/visitor-information-center,248467.6,2571763.42,,20201001
